Date,Open,High,Low,Close,Adj Close,Volume
2000-11-27,2979.93,2998.75,2874.71,2880.49,2880.49,1706570000
2000-11-28,2873.73,2891.4,2734.46,2734.98,2734.98,1919970000
2000-11-29,2748.18,2770.18,2642.89,2706.93,2706.93,2055720000
2000-11-30,2599.04,2641.75,2523.04,2597.93,2597.93,2736270000
2000-12-01,2644.09,2749.06,2604.27,2645.29,2645.29,2221970000
2000-12-04,2662.56,2671.18,2567.18,2615.75,2615.75,1860480000
2000-12-05,2702.72,2889.8,2694.41,2889.8,2889.8,2474670000
2000-12-06,2878.87,2916.2,2781.24,2796.5,2796.5,2308280000
2000-12-07,2748.29,2794.53,2707.96,2752.66,2752.66,1756810000
2000-12-08,2857.93,2929.95,2844.93,2917.43,2917.43,2328650000
2000-12-11,2936.6,3028.75,2901.48,3015.1,3015.1,2447760000
2000-12-12,2994.06,3002.53,2930.99,2931.77,2931.77,1919030000
2000-12-13,2996.57,3001.72,2814.13,2822.77,2822.77,2042250000
2000-12-14,2820.48,2847.37,2727.26,2728.51,2728.51,1770640000
2000-12-15,2688.66,2697.93,2596.03,2653.27,2653.27,2770690000
2000-12-18,2698.72,2726.2,2597.47,2624.52,2624.52,2065990000
2000-12-19,2617.06,2696.61,2509.76,2511.71,2511.71,2317200000
2000-12-20,2410.96,2432.83,2312.51,2332.78,2332.78,2855150000
2000-12-21,2310.21,2423.71,2288.16,2340.12,2340.12,2686970000
2000-12-22,2397.67,2517.93,2397.67,2517.02,2517.02,2235410000
2000-12-26,2518.29,2548.75,2436.19,2493.52,2493.52,1558700000
2000-12-27,2471.33,2539.52,2450.22,2539.35,2539.35,2002650000
2000-12-28,2517.9,2571.52,2514.56,2557.76,2557.76,2192130000
2000-12-29,2552.68,2577.02,2456.54,2470.52,2470.52,2531760000
2001-01-02,2474.16,2474.16,2273.07,2291.86,2291.86,1918930000
2001-01-03,2254.56,2618.03,2251.71,2616.69,2616.69,3188000000
2001-01-04,2593.96,2644.8,2549.83,2566.83,2566.83,2610680000
2001-01-05,2573.11,2574.62,2395.39,2407.65,2407.65,2104670000
2001-01-08,2388.72,2397.06,2299.65,2395.92,2395.92,1850590000
2001-01-09,2424.69,2474.16,2406.08,2441.3,2441.3,1975130000
2001-01-10,2392.71,2525.28,2376.49,2524.18,2524.18,2470350000
2001-01-11,2495.59,2661.93,2495.01,2640.57,2640.57,2842640000
2001-01-12,2639.56,2699.87,2589.63,2626.5,2626.5,2518850000
2001-01-16,2631.49,2638.22,2576.95,2618.55,2618.55,2073940000
2001-01-17,2710.53,2756.63,2668.48,2682.78,2682.78,2819190000
2001-01-18,2696.74,2769.98,2661.26,2768.49,2768.49,2558710000
2001-01-19,2838.36,2841.25,2752.06,2770.38,2770.38,2697190000
2001-01-22,2759.1,2789.63,2722.96,2757.91,2757.91,2037140000
2001-01-23,2759.26,2845.39,2736.28,2840.39,2840.39,2278470000
2001-01-24,2850.74,2892.36,2828.32,2859.15,2859.15,2567320000
2001-01-25,2836.35,2849.56,2753.37,2754.28,2754.28,2298150000
2001-01-26,2705.39,2785.62,2686.65,2781.3,2781.3,2268800000
2001-01-29,2757.29,2840.02,2742.5,2838.34,2838.34,1970130000
2001-01-30,2845.01,2861.71,2817.13,2838.35,2838.35,2073590000
2001-01-31,2848.11,2872.47,2772.35,2772.73,2772.73,2277310000
2001-02-01,2771.57,2796.89,2742.44,2782.79,2782.79,1776260000
2001-02-02,2782.93,2791.58,2660.11,2660.5,2660.5,1706900000
2001-02-05,2639.65,2656.02,2596.73,2643.21,2643.21,1648760000
2001-02-06,2641.91,2705.59,2640.23,2664.49,2664.49,1788920000
2001-02-07,2615.94,2636.07,2554.76,2607.82,2607.82,2056920000
2001-02-08,2625.78,2651.84,2562.02,2562.06,2562.06,1852360000
2001-02-09,2542.24,2542.62,2455.87,2470.97,2470.97,1881910000
2001-02-12,2458.65,2508.27,2435.36,2489.66,2489.66,1751220000
2001-02-13,2510.84,2554.65,2427.47,2427.72,2427.72,1728550000
2001-02-14,2437.68,2493.11,2388.4,2491.4,2491.4,1987350000
2001-02-15,2536.63,2593.09,2536.63,2552.91,2552.91,2106930000
2001-02-16,2444.6,2457.65,2397.43,2425.38,2425.38,1892200000
2001-02-20,2439.57,2442.99,2317.77,2318.35,2318.35,1878340000
2001-02-21,2281.79,2353.51,2257.15,2268.94,2268.94,2019740000
2001-02-22,2272.13,2291.69,2185.91,2244.96,2244.96,2483470000
2001-02-23,2221.27,2264.68,2156.29,2262.51,2262.51,2237910000
2001-02-26,2287.88,2309.73,2238.64,2308.5,2308.5,1739060000
2001-02-27,2286.64,2300.18,2206.72,2207.82,2207.82,1808540000
2001-02-28,2223.88,2238.06,2127.5,2151.83,2151.83,2082700000
2001-03-01,2126.3,2184.41,2071.03,2183.37,2183.37,2256880000
2001-03-02,2111.23,2197.85,2091.55,2117.63,2117.63,2374100000
2001-03-05,2142.75,2163.09,2127.96,2142.92,2142.92,1495750000
2001-03-06,2204.3,2243.78,2202.7,2204.43,2204.43,1986380000
2001-03-07,2241.23,2243.75,2201.41,2223.92,2223.92,1774410000
2001-03-08,2211.3,2219.87,2161.41,2168.73,2168.73,1759140000
2001-03-09,2124.11,2124.11,2041.78,2052.78,2052.78,1962120000
2001-03-12,2001.68,2004.09,1922.78,1923.38,1923.38,2149820000
2001-03-13,1948.7,2015.35,1932.63,2014.78,2014.78,2096420000
2001-03-14,1948.56,2028.53,1933.4,1972.09,1972.09,2147220000
2001-03-15,2023.79,2030.73,1939.38,1940.71,1940.71,1963770000
2001-03-16,1914.58,1940.71,1877.69,1890.91,1890.91,2102270000
2001-03-19,1901.45,1953.08,1867.58,1951.18,1951.18,1774570000
2001-03-20,1964.45,1974.14,1857.41,1857.44,1857.44,2016500000
2001-03-21,1862.74,1896.21,1820.75,1830.23,1830.23,2109190000
2001-03-22,1845.34,1898.1,1794.21,1897.7,1897.7,2504770000
2001-03-23,1938.91,1952.92,1891.99,1928.68,1928.68,2284560000
2001-03-26,1957.71,1960.68,1909.42,1918.49,1918.49,1719620000
2001-03-27,1922.7,1979.75,1907.16,1972.23,1972.23,1951410000
2001-03-28,1925.3,1925.3,1852.96,1854.13,1854.13,2072260000
2001-03-29,1838.44,1876.74,1802.76,1820.57,1820.57,2079050000
2001-03-30,1830.42,1855.58,1794.3,1840.26,1840.26,2139050000
2001-04-02,1835.22,1852.49,1769.66,1782.97,1782.97,1848350000
2001-04-03,1758.18,1759.01,1660.92,1673.0,1673.0,2573410000
2001-04-04,1668.37,1698.21,1619.58,1638.8,1638.8,2465470000
2001-04-05,1709.91,1785.73,1706.1,1785.0,1785.0,2333000000
2001-04-06,1756.11,1756.11,1700.2,1720.36,1720.36,1835720000
2001-04-09,1739.66,1757.38,1710.76,1745.71,1745.71,1448830000
2001-04-10,1771.68,1868.1,1771.68,1852.03,1852.03,2203460000
2001-04-11,1929.93,1948.08,1884.95,1898.95,1898.95,2372010000
2001-04-12,1881.19,1961.57,1868.76,1961.43,1961.43,1902800000
2001-04-16,1934.7,1946.92,1891.88,1909.57,1909.57,1571910000
2001-04-17,1872.35,1941.57,1869.34,1923.22,1923.22,1900580000
2001-04-18,2005.06,2129.31,1995.91,2079.44,2079.44,3195650000
2001-04-19,2100.88,2182.14,2082.24,2182.14,2182.14,2788870000
2001-04-20,2171.9,2202.86,2135.32,2163.41,2163.41,2544420000
2001-04-23,2118.36,2118.77,2046.84,2059.32,2059.32,1845630000
2001-04-24,2055.32,2095.89,2012.37,2016.61,2016.61,1983330000
2001-04-25,2013.42,2066.97,2000.83,2059.8,2059.8,1978940000
2001-04-26,2086.04,2095.83,2032.38,2034.88,2034.88,2028800000
2001-04-27,2070.24,2082.64,2046.71,2075.68,2075.68,1801600000
2001-04-30,2113.11,2159.08,2097.58,2116.24,2116.24,2027180000
2001-05-01,2116.24,2168.42,2088.61,2168.24,2168.24,1922520000
2001-05-02,2205.25,2232.66,2175.13,2220.6,2220.6,2584140000
2001-05-03,2183.07,2183.07,2129.07,2146.2,2146.2,2010880000
2001-05-04,2102.61,2191.93,2089.23,2191.53,2191.53,2057110000
2001-05-07,2194.04,2215.37,2166.51,2173.57,2173.57,1749600000
2001-05-08,2209.01,2210.45,2165.37,2198.77,2198.77,1892280000
2001-05-09,2162.3,2189.03,2141.43,2156.63,2156.63,1793520000
2001-05-10,2195.52,2197.03,2128.69,2128.86,2128.86,1741690000
2001-05-11,2130.74,2140.37,2097.36,2107.43,2107.43,1430930000
2001-05-14,2105.36,2105.38,2052.41,2081.92,2081.92,1338540000
2001-05-15,2086.98,2125.32,2077.5,2085.58,2085.58,1710620000
2001-05-16,2067.6,2171.22,2057.99,2166.44,2166.44,2078580000
2001-05-17,2170.01,2216.36,2167.72,2193.68,2193.68,2154310000
2001-05-18,2182.56,2205.65,2172.48,2198.88,2198.88,1792620000
2001-05-21,2201.45,2305.73,2198.14,2305.59,2305.59,2311480000
2001-05-22,2319.18,2328.05,2291.91,2313.85,2313.85,2314800000
2001-05-23,2299.75,2299.75,2243.46,2243.48,2243.48,1886790000
2001-05-24,2250.04,2282.19,2226.26,2282.02,2282.02,1864570000
