Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,"15,677.88","15,848.56","15,591.36","15,845.23","15,845.23","4,178,630,000"
2021-11-23,"15,809.50","15,895.86","15,601.46","15,775.14","15,775.14","5,412,610,000"
2021-11-22,"16,120.92","16,212.23","15,851.04","15,854.76","15,854.76","5,531,070,000"
2021-11-19,"16,042.16","16,121.12","16,017.23","16,057.44","16,057.44","4,849,160,000"
2021-11-18,"15,973.39","16,010.88","15,848.83","15,993.71","15,993.71","5,361,690,000"
2021-11-17,"15,973.62","15,998.57","15,909.39","15,921.57","15,921.57","5,024,540,000"
2021-11-16,"15,840.32","15,989.61","15,825.00","15,973.86","15,973.86","5,441,150,000"
2021-11-15,"15,894.82","15,918.45","15,778.31","15,853.85","15,853.85","4,978,040,000"
2021-11-12,"15,752.62","15,874.57","15,705.38","15,860.96","15,860.96","5,412,870,000"
2021-11-11,"15,752.08","15,768.03","15,695.77","15,704.28","15,704.28","4,520,600,000"
2021-11-10,"15,753.84","15,867.24","15,543.68","15,622.71","15,622.71","5,336,480,000"
2021-11-09,"16,024.13","16,035.21","15,836.68","15,886.54","15,886.54","5,531,330,000"
2021-11-08,"15,995.72","16,038.23","15,961.81","15,982.36","15,982.36","5,620,280,000"
2021-11-05,"16,003.56","16,053.39","15,900.78","15,971.59","15,971.59","5,534,130,000"
2021-11-04,"15,849.74","15,966.09","15,827.66","15,940.31","15,940.31","5,252,570,000"
2021-11-03,"15,658.52","15,821.57","15,616.44","15,811.58","15,811.58","5,274,520,000"
2021-11-02,"15,583.98","15,656.60","15,569.27","15,649.60","15,649.60","5,118,540,000"
2021-11-01,"15,541.26","15,598.95","15,470.82","15,595.92","15,595.92","5,239,250,000"
2021-10-29,"15,323.29","15,504.12","15,323.29","15,498.39","15,498.39","5,310,370,000"
2021-10-28,"15,304.74","15,452.30","15,290.31","15,448.12","15,448.12","5,660,240,000"
2021-10-27,"15,276.00","15,364.54","15,235.84","15,235.84","15,235.84","6,083,210,000"
2021-10-26,"15,317.50","15,384.00","15,198.23","15,235.71","15,235.71","7,035,470,000"
2021-10-25,"15,142.92","15,259.63","15,070.75","15,226.71","15,226.71","5,677,320,000"
2021-10-22,"15,158.07","15,193.01","15,021.02","15,090.20","15,090.20","5,719,760,000"
2021-10-21,"15,104.80","15,222.25","15,094.14","15,215.70","15,215.70","4,880,390,000"
2021-10-20,"15,160.00","15,178.39","15,071.15","15,121.68","15,121.68","4,086,590,000"
2021-10-19,"15,073.13","15,137.85","15,049.73","15,129.09","15,129.09","4,443,000,000"
2021-10-18,"14,839.74","15,026.68","14,833.28","15,021.81","15,021.81","4,142,540,000"
2021-10-15,"14,891.24","14,904.98","14,847.96","14,897.34","14,897.34","4,473,930,000"
2021-10-14,"14,717.50","14,827.56","14,699.52","14,823.43","14,823.43","4,240,520,000"
2021-10-13,"14,537.17","14,589.28","14,471.88","14,571.64","14,571.64","4,032,440,000"
2021-10-12,"14,539.09","14,552.71","14,441.60","14,465.92","14,465.92","4,037,030,000"
2021-10-11,"14,540.08","14,665.99","14,482.62","14,486.20","14,486.20","3,522,230,000"
2021-10-08,"14,694.72","14,699.91","14,569.68","14,579.54","14,579.54","3,557,630,000"
2021-10-07,"14,631.80","14,755.72","14,615.14","14,654.02","14,654.02","3,936,210,000"
2021-10-06,"14,289.45","14,509.55","14,259.07","14,501.91","14,501.91","4,443,760,000"
2021-10-05,"14,312.86","14,508.65","14,299.78","14,433.83","14,433.83","4,143,190,000"
2021-10-04,"14,493.12","14,499.74","14,181.69","14,255.48","14,255.48","4,539,650,000"
2021-10-01,"14,494.93","14,606.82","14,324.01","14,566.70","14,566.70","4,688,550,000"
2021-09-30,"14,582.60","14,632.36","14,444.30","14,448.58","14,448.58","5,910,550,000"
2021-09-29,"14,614.88","14,676.62","14,493.67","14,512.44","14,512.44","5,246,170,000"
2021-09-28,"14,787.21","14,817.74","14,539.88","14,546.68","14,546.68","4,954,270,000"
2021-09-27,"14,954.18","15,003.16","14,864.96","14,969.97","14,969.97","4,619,450,000"
2021-09-24,"14,961.61","15,067.56","14,946.57","15,047.70","15,047.70","3,972,140,000"
2021-09-23,"14,960.00","15,085.44","14,932.51","15,052.24","15,052.24","4,176,520,000"
2021-09-22,"14,800.59","14,950.12","14,767.01","14,896.85","14,896.85","4,229,870,000"
2021-09-21,"14,803.36","14,847.03","14,696.47","14,746.40","14,746.40","4,056,340,000"
2021-09-20,"14,758.14","14,841.82","14,530.07","14,713.90","14,713.90","4,860,630,000"
2021-09-17,"15,163.36","15,166.56","14,998.73","15,043.97","15,043.97","6,682,650,000"
2021-09-16,"15,120.09","15,205.50","15,047.14","15,181.92","15,181.92","3,681,700,000"
2021-09-15,"15,071.34","15,174.38","14,984.68","15,161.53","15,161.53","4,446,270,000"
