Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,0.5300,0.6,0.42,0.51,0.51,"119,844,100"
2021-11-23,0.3500,0.36,0.33,0.34,0.34,"1,591,800"
2021-11-22,0.3800,0.38,0.35,0.35,0.35,"1,500,500"
2021-11-19,0.3700,0.38,0.36,0.36,0.36,"1,347,100"
2021-11-18,0.3800,0.39,0.37,0.37,0.37,"1,585,200"
2021-11-17,0.4000,0.4,0.37,0.38,0.38,"1,697,400"
2021-11-16,0.4000,0.4,0.38,0.39,0.39,"1,765,800"
2021-11-15,0.4100,0.41,0.39,0.4,0.4,"1,388,100"
2021-11-12,0.4000,0.41,0.4,0.4,0.4,"1,150,900"
2021-11-11,0.4100,0.41,0.4,0.4,0.4,"754,900"
2021-11-10,0.4100,0.42,0.4,0.41,0.41,"813,700"
2021-11-09,0.4100,0.42,0.41,0.41,0.41,"829,200"
2021-11-08,0.4000,0.42,0.4,0.41,0.41,"1,579,600"
2021-11-05,0.4200,0.42,0.41,0.41,0.41,"692,400"
2021-11-04,0.4200,0.43,0.42,0.42,0.42,"587,900"
2021-11-03,0.4100,0.44,0.41,0.42,0.42,"941,600"
2021-11-02,0.4100,0.42,0.41,0.42,0.42,"756,200"
2021-11-01,0.4000,0.42,0.4,0.41,0.41,"1,255,400"
2021-10-29,0.4000,0.42,0.4,0.41,0.41,"714,500"
2021-10-28,0.4200,0.42,0.41,0.41,0.41,"1,003,400"
2021-10-27,0.4200,0.43,0.41,0.42,0.42,"896,700"
2021-10-26,0.4200,0.43,0.41,0.42,0.42,"969,200"
2021-10-25,0.4200,0.42,0.41,0.41,0.41,"948,500"
2021-10-22,0.4400,0.44,0.4,0.41,0.41,"1,828,700"
2021-10-21,0.4100,0.44,0.41,0.44,0.44,"927,800"
2021-10-20,0.4300,0.43,0.42,0.42,0.42,"380,400"
2021-10-19,0.4300,0.43,0.42,0.42,0.42,"441,500"
2021-10-18,0.4200,0.44,0.42,0.42,0.42,"505,900"
2021-10-15,0.4300,0.43,0.42,0.43,0.43,"489,700"
2021-10-14,0.4200,0.44,0.42,0.43,0.43,"601,800"
2021-10-13,0.4200,0.44,0.42,0.43,0.43,"754,000"
2021-10-12,0.4100,0.42,0.41,0.42,0.42,"382,700"
2021-10-11,0.4100,0.42,0.41,0.41,0.41,"532,700"
2021-10-08,0.4200,0.43,0.4,0.41,0.41,"1,538,000"
2021-10-07,0.4300,0.44,0.42,0.42,0.42,"377,500"
2021-10-06,0.4400,0.44,0.42,0.43,0.43,"563,800"
2021-10-05,0.4300,0.44,0.43,0.43,0.43,"707,900"
2021-10-04,0.4500,0.45,0.43,0.43,0.43,"1,066,700"
2021-10-01,0.4400,0.46,0.44,0.45,0.45,"425,700"
2021-09-30,0.4400,0.45,0.44,0.44,0.44,"516,300"
2021-09-29,0.4500,0.48,0.44,0.44,0.44,"1,915,600"
2021-09-28,0.4800,0.49,0.46,0.47,0.47,"751,000"
2021-09-27,0.4700,0.49,0.45,0.47,0.47,"2,310,800"
2021-09-24,0.4500,0.47,0.45,0.46,0.46,"389,600"
2021-09-23,0.4500,0.46,0.45,0.46,0.46,"317,000"
2021-09-22,0.4600,0.46,0.45,0.46,0.46,"494,600"
2021-09-21,0.4600,0.46,0.45,0.46,0.46,"533,800"
2021-09-20,0.4600,0.47,0.44,0.45,0.45,"1,257,700"
2021-09-17,0.4600,0.48,0.45,0.48,0.48,"1,288,200"
2021-09-16,0.4600,0.47,0.45,0.46,0.46,"647,100"
