Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,51.95,58.58,51.22,58.05,58.05,"3,554,600"
2021-11-23,51.50,53.25,49.54,52.57,52.57,"2,592,700"
2021-11-22,53.49,55.45,50.81,52.77,52.77,"3,711,600"
2021-11-19,48.94,55.82,48.7,53.19,53.19,"6,210,000"
2021-11-18,48.49,51.42,46.3,48.44,48.44,"6,761,600"
2021-11-17,49.11,53.96,45.51,47.07,47.07,"12,756,200"
2021-11-16,60.39,63.8,57.78,61.69,61.69,"3,033,400"
2021-11-15,65.95,66.72,58.44,60.51,60.51,"5,971,600"
2021-11-12,72.60,73.5,67.8,68.8,68.8,"2,483,200"
2021-11-11,72.97,75.75,71.19,72.43,72.43,"2,582,700"
2021-11-10,74.29,77.37,68.16,69.4,69.4,"5,307,700"
2021-11-09,87.00,87.99,78.05,78.41,78.41,"4,662,200"
2021-11-08,93.11,95.53,85.51,89.49,89.49,"5,653,000"
2021-11-05,82.81,94.0,82.55,90.91,90.91,"14,945,400"
2021-11-04,69.00,100.0,62.1,84.4,84.4,"38,935,300"
2021-11-03,52.05,62.75,51.2,56.66,56.66,"13,808,300"
2021-11-02,46.04,69.28,44.21,58.07,58.07,"28,326,800"
2021-11-01,43.22,47.68,42.18,46.11,46.11,"3,529,800"
2021-10-29,44.93,45.2,42.97,43.13,43.13,"2,041,900"
2021-10-28,44.91,46.02,43.72,44.46,44.46,"2,166,000"
2021-10-27,46.61,48.61,44.49,44.61,44.61,"2,312,900"
2021-10-26,47.70,49.2,46.72,47.17,47.17,"2,127,700"
2021-10-25,45.62,49.55,45.39,47.81,47.81,"3,221,600"
2021-10-22,45.74,46.7,44.11,45.71,45.71,"2,317,100"
2021-10-21,46.60,47.71,44.65,46.56,46.56,"3,552,500"
2021-10-20,47.50,48.8,45.53,46.39,46.39,"4,042,500"
2021-10-19,50.08,51.35,47.23,47.5,47.5,"3,738,000"
2021-10-18,49.99,52.64,49.16,50.16,50.16,"3,349,200"
2021-10-15,54.00,54.0,49.6,49.69,49.69,"3,739,400"
2021-10-14,53.09,57.2,52.25,53.37,53.37,"3,584,800"
2021-10-13,52.41,56.59,50.55,54.99,54.99,"3,675,800"
